filename,numAgents,numJobs,MZtardiness,MZisPTACondorcet,MZisParetoOptimal,MZgini,MZRuntime,CLtardiness,CPisPTACondorcet,isParetoOptimal,gini,runtime,,,,,,,,,,,,,,,,,,
01_highsim5J5A.dzn,5,5,619,FALSE,TRUE,0.22479337,3.732983342,670,TRUE,TRUE,0.26870227,0,,,,,,,,,,,,,,,,,,
02_highsim5J5A.dzn,5,5,645,TRUE,TRUE,0.215873,1.787248688,645,TRUE,TRUE,0.215873,0,,,,,,,,,,,,,,,,,,
03_highsim5J5A.dzn,5,5,727,TRUE,TRUE,0.29444438,1.78878959,727,TRUE,TRUE,0.29444438,0,,,,,,,,,,,,,,,,,,
04_highsim5J5A.dzn,5,5,648,FALSE,TRUE,0.28125,1.751511922,702,TRUE,TRUE,0.23021585,0,,,,,,,,,,,,,,,,,,
05_highsim5J5A.dzn,5,5,814,FALSE,TRUE,0.16397512,1.894031185,866,FALSE,TRUE,0.2245614,0,,,,,,,,,,,,,,,,,,
06_highsim5J5A.dzn,5,5,660,TRUE,TRUE,0.4335878,1.809211731,660,TRUE,TRUE,0.4335878,0,,,,,,,,,,,,,,,,,,
07_highsim5J5A.dzn,5,5,553,TRUE,TRUE,0.26363635,1.772044317,553,TRUE,TRUE,0.26363635,0,,,,,,,,,,,,,,,,,,
08_highsim5J5A.dzn,5,5,674,FALSE,TRUE,0.45970148,1.819898741,789,FALSE,TRUE,0.2551282,0,,,,"MiniZinc, with high similarity processing times",,,,,,,,"PTA Copeland, with high similarity processing times",,,,,,
09_highsim5J5A.dzn,5,5,614,FALSE,TRUE,0.3669421,1.787130505,661,TRUE,TRUE,0.22153842,0,,,,numAgents,numJobs,%Pareto ,%Condorcet,Avg. Gini,Avg. Tardiness,Avg.Runtime,,numAgents,numJobs,%Pareto ,%Condorcet,Avg. Gini,Avg. Tardiness,CL Tardiness % more than MZ
10_highsim5J5A.dzn,5,5,570,FALSE,TRUE,0.40353984,1.802202346,664,FALSE,TRUE,0.2656489,0,,,,5,5,1,0.4,0.310774344,652.4,1.994505237,,5,5,1,0.7,0.267333657,693.7,6.330472103
