filename,numAgents,numJobs,MZtardiness,MZisPTACondorcet,MZisParetoOptimal,MZgini,MZRuntime,CLtardiness,CPisPTACondorcet,isParetoOptimal,gini,runtime,,,,,,,,,,,,,,,,,,,
01_lowsim5J5A.dzn,5,5,345,TRUE,TRUE,0.33529413,2.251651061,345,TRUE,TRUE,0.33529413,0,,,,,,,,,,,,,,,,,,,
02_lowsim5J5A.dzn,5,5,827,FALSE,TRUE,0.04727274,2.161182639,926,FALSE,TRUE,0.31304348,0,,,,,,,,,,,,,,,,,,,
03_lowsim5J5A.dzn,5,5,330,FALSE,TRUE,0.24615383,2.281211381,336,TRUE,TRUE,0.18181819,0,,,,,,,,,,,,,,,,,,,
04_lowsim5J5A.dzn,5,5,342,FALSE,TRUE,0.21492535,2.245219372,342,TRUE,TRUE,0.41194028,0,,,,,,,,,,,,,,,,,,,
05_lowsim5J5A.dzn,5,5,391,TRUE,TRUE,0.42631578,1.979074545,391,TRUE,TRUE,0.42631578,0,,,,,,,,,,,,,,,,,,,
06_lowsim5J5A.dzn,5,5,597,FALSE,TRUE,0.21694916,2.0174336,650,TRUE,TRUE,0.23749995,0,,,,,,,,,,,,,,,,,,,
07_lowsim5J5A.dzn,5,5,561,FALSE,TRUE,0.25225228,2.032767103,659,TRUE,TRUE,0.22635657,0,,,,,,,,,,,,,,,,,,,
08_lowsim5J5A.dzn,5,5,707,FALSE,TRUE,0.31142855,1.958303898,731,TRUE,TRUE,0.33379304,0,,,,"MiniZinc, with low similarity processing times",,,,,,,,"PTA Copeland, with low similarity processing times",,,,,,,
09_lowsim5J5A.dzn,5,5,784,FALSE,TRUE,0.45935482,1.920395295,844,TRUE,TRUE,0.31807232,0,,,,numAgents,numJobs,Pareto %,Condorcet %,Avg. Gini,Avg. Tardiness,Avg.Runtime,,numAgents,numJobs,Pareto %,Condorcet %,Avg. Gini,Avg. Tardiness,CL Tardiness % more than MZ,
10_lowsim5J5A.dzn,5,5,297,FALSE,TRUE,0.3448276,2.077103241,297,FALSE,TRUE,0.3448276,0,,,,5,5,100,20,0.285477424,518.1,2.092434214,,5,5,100,80,0.312896134,552.1,6.562439683,
